LA,LP,LL,LW,RLW,LMF,LS,LA_Boxcox,LP_Boxcox,LL_Boxcox,LW_Boxcox,RLW_Boxcox,LMF_Boxcox
484.95,96.64,41.54,17.41,2.39,0.207703164,3,3.494584592,4.94504887,2.975265199,2.710378093,0.945481874,-1.244688675
126.31,46.67,17.92,9.46,1.89,0.23196482,3,3.061450854,4.105289802,2.420256091,2.155668123,0.675595532,-1.175571694
225.97,78.3,25.23,18.39,1.37,0.147430471,3,3.263536768,4.700123043,2.653204226,2.759565674,0.324163107,-1.444693216
373.17,113.68,32.46,22.64,1.43,0.115504415,2,3.419374967,5.135252163,2.818478356,2.945401651,0.369779276,-1.574716086
375.27,111.41,34.53,22.36,1.54,0.120935969,3,3.421028735,5.111570665,2.858233272,2.934318785,0.449504826,-1.550977838
292.04,115.68,27.87,24.65,1.13,0.087294277,3,3.345230944,5.155741392,2.719105389,3.021015535,0.123610453,-1.712301455
450.97,121.07,43.81,17.65,2.48,0.123065001,3,3.474137581,5.209301421,3.008453262,2.722684801,0.989064773,-1.541873949
843.67,202.55,51.77,38.12,1.36,0.082256098,3,3.640766963,5.820327945,3.111161643,3.404833569,0.316402778,-1.740007799
128.66,46.79,17.87,9.56,1.87,0.23507013,3,3.06823424,4.108216053,2.418312035,2.165337868,0.663638641,-1.167091567
560.1,156.55,48.49,25.8,1.88,0.091415412,3,3.534240152,5.513120225,3.071150982,3.061451596,0.669630044,-1.690448456
172.97,76.23,22.17,18.31,1.21,0.11906358,3,3.173679195,4.669066149,2.566343623,2.755653474,0.194022933,-1.559076242
131.21,47.21,17.94,9.84,1.82,0.235482656,1,3.075427887,4.118401149,2.421032004,2.191864964,0.633283951,-1.165970854
464.23,143.99,38.86,31.64,1.23,0.089562979,3,3.482330979,5.41396429,2.933350034,3.24156324,0.211031254,-1.700185264
1186.52,210.74,62.93,38.6,1.63,0.106866381,2,3.722835048,5.867836817,3.22855496,3.415758415,0.511352364,-1.614109632
132.89,47.64,18.03,9.58,1.88,0.234211808,3,3.080075706,4.128738463,2.424511603,2.167259224,0.669630044,-1.169427737
440.95,167.68,37.23,36.99,1.01,0.062731664,3,3.467750979,5.594762416,2.906232613,3.378540889,0.009959499,-1.860039959
167.53,62.53,28.02,8.72,3.21,0.17138615,3,3.162600825,4.440301207,2.722636544,2.080636752,1.301715593,-1.359441682
613.53,225.82,57.92,40.98,1.41,0.048125027,3,3.558718114,5.950826001,3.179017647,3.467925307,0.354750155,-1.968112693
1899.77,188.93,76.62,35.7,2.15,0.212891914,1,3.827038151,5.737050812,3.344042209,3.347487274,0.8223471,-1.229455679
344.1,101.24,30.47,21.39,1.42,0.134288985,2,3.395259281,4.99940577,2.777472299,2.894779857,0.362286278,-1.495597055
744.19,159.93,47.21,36,1.31,0.116381499,2,3.609090953,5.53849135,3.054702901,3.35481173,0.276888754,-1.570831392
755.59,243.26,51.69,41.73,1.24,0.051074578,3,3.612972894,6.04037275,3.110220087,3.483715131,0.219451042,-1.944624701
548.16,152.1,39.11,35.64,1.1,0.094778298,3,3.528383636,5.478898154,2.937395702,3.346014723,0.096155814,-1.673115084
208.69,120.31,27.84,25.85,1.08,0.057671092,3,3.237307991,5.201890534,2.718396591,3.063167024,0.077511789,-1.89529808
736.42,151.29,65.04,20.98,3.1,0.128696021,1,3.606403764,5.472565073,3.248104589,2.877505025,1.258585118,-1.51830846
706.46,124.27,54.32,19.84,2.74,0.182984781,1,3.595712747,5.240020038,3.14034419,2.827567417,1.108110418,-1.321106426
390.24,131.84,39.7,23.99,1.65,0.089804352,3,3.432503291,5.309750103,2.946829164,2.996915271,0.524716934,-1.698908718
253.42,126.17,31.11,19.33,1.61,0.063677891,3,3.30058717,5.257899649,2.790981283,2.804255067,0.497853488,-1.853667505
198.42,86.14,23.55,22.56,1.04,0.106963524,3,3.220445375,4.810967598,2.607087093,2.942249689,0.039363415,-1.6136546
886.85,206.04,52.31,45.27,1.16,0.083561664,3,3.653142679,5.840795722,3.117474604,3.554474098,0.150477397,-1.732718053
2078.93,235.07,103.11,35.2,2.93,0.150489238,1,3.845860546,5.999120765,3.512941821,3.335136807,1.189408925,-1.433298441
1247.42,252.65,73.29,51.23,1.43,0.078168916,3,3.734402163,6.086049255,3.318221125,3.661545174,0.369779276,-1.76335876
251.61,95.57,30.16,19.36,1.56,0.110190643,3,3.298296278,4.932046949,2.770813568,2.805643949,0.463498467,-1.598697861
1044.76,193.24,86.26,22.09,3.9,0.111913498,1,3.692887493,5.764014219,3.412207089,2.923494554,1.547738196,-1.590836527
945.31,161.07,71.02,23.38,3.04,0.145748779,1,3.668785842,5.546931778,3.299850379,2.974021213,1.234531181,-1.451027696
265.3,109.62,27.47,26.72,1.03,0.088311578,1,3.315149468,5.092565669,2.709583384,3.092476662,0.029639807,-1.706841902
488.08,139.75,41.1,31.01,1.33,0.099964862,3,3.496380685,5.378595656,2.968596112,3.223870845,0.292839423,-1.647196184
1033.14,152.13,65.75,24.61,2.67,0.178562163,1,3.690217265,5.479132086,3.254522825,3.01957407,1.076997746,-1.335520262
611.95,171.39,48.42,33.98,1.42,0.083330689,3,3.558031676,5.62081627,3.070264174,3.304221339,0.362286278,-1.734001967
242,110.71,31.4,24.7,1.27,0.078977186,3,3.285790762,5.104173909,2.796999908,3.022813959,0.244382663,-1.758675169
3635.12,442.27,121.05,72.31,1.67,0.074336786,3,3.955073789,6.768211268,3.601592176,3.95731212,0.537950137,-1.78603155
1049.15,218.53,51.87,51,1.02,0.087877045,1,3.693886989,5.911398404,3.112336286,3.657658424,0.019838962,-1.709168569
1927.57,319.96,94.48,59.46,1.59,0.075314531,3,3.830095996,6.372226063,3.463876997,3.789863945,0.484217263,-1.78017141
380.19,148.22,37.37,29.15,1.28,0.069222465,3,3.424859951,5.44826084,2.908613719,3.169375595,0.252586557,-1.817584544
575.05,192.77,49.59,38.16,1.3,0.061899438,3,3.541364229,5.761102271,3.084900222,3.405749408,0.26883888,-1.865699768
900.43,271.75,58.87,47.94,1.23,0.048772031,3,3.65688527,6.174105112,3.188772913,3.604145206,0.211031254,-1.962877044
398.34,179.46,47.34,38.05,1.24,0.049474178,3,3.438492807,5.675656555,3.056396181,3.40322845,0.219451042,-1.957249169
657.74,199.36,49.47,42.26,1.17,0.066196983,3,3.577103826,5.801319339,3.083417072,3.494696782,0.159307223,-1.837015361
1299.71,232.01,70.17,37.88,1.85,0.096581299,3,3.743803178,5.983350713,3.292800698,3.399317517,0.65157708,-1.663996282
358.38,90.35,38.85,14.65,2.65,0.175609272,1,3.407400449,4.866529448,2.933187599,2.554686862,1.067986393,-1.345281913
539.88,181.56,56.06,33.29,1.68,0.0655114,3,3.524231228,5.689536548,3.159385392,3.286222466,0.544518368,-1.841503348
355.29,139.01,36.49,26.06,1.4,0.073544617,3,3.404823321,5.37231676,2.893477016,3.070334434,0.34717035,-1.790818599
353.68,98.12,43.59,12.42,3.51,0.146945203,1,3.40346981,4.96280547,3.005322478,2.404796459,1.413508476,-1.446515944
1628.82,193.99,85.56,29.6,2.89,0.173130825,1,3.794079993,5.768646805,3.407552806,3.182884006,1.172658235,-1.353563041
970.48,205.37,53.89,38.83,1.39,0.092039145,3,3.675165599,5.836892486,3.135532688,3.420943403,0.339546295,-1.687200661
153.09,112.73,32.07,17.9,1.79,0.048186768,3,3.130956179,5.12539749,2.810668959,2.735321074,0.614743423,-1.967610985
519.64,171.27,42.01,37.91,1.11,0.070859808,3,3.513748993,5.61998212,2.98230172,3.400009003,0.10537443,-1.807312641
220.58,119.95,32.26,23.42,1.38,0.061323314,3,3.255622529,5.198364315,2.814486813,2.975541344,0.331877411,-1.869648735
309.98,88.5,40.01,11.59,3.45,0.158309553,1,3.363608614,4.842428731,2.951722692,2.341740804,1.391790501,-1.404875401
653.46,116.75,50.14,19.21,2.61,0.191763179,3,3.57538998,5.166563043,3.091646678,2.798677091,1.049796135,-1.293194358
440.49,141.89,37.22,33.23,1.12,0.087517009,3,3.467453588,5.396574429,2.906062148,3.284639098,0.114525613,-1.711102375
161.43,62.14,27.97,8.45,3.31,0.167225206,3,3.149650348,4.433101554,2.721461862,2.051602764,1.339892222,-1.373630666
473.62,118.24,51.53,18.17,2.84,0.135506829,1,3.487964218,5.181473916,3.108332045,2.74876427,1.151452104,-1.490738718
297.47,77.18,33.43,12.55,2.66,0.199753141,1,3.350934076,4.683419182,2.837452359,2.414275196,1.072498971,-1.26854646
381.66,96.42,37.55,15.37,2.44,0.164211052,3,3.425993053,4.942386973,2.911660427,2.598063305,0.969856468,-1.384062088
457.65,117.82,37,25.99,1.42,0.131872859,2,3.478300969,5.177289306,2.902298829,3.067951975,0.362286278,-1.505326509
885.04,189.03,47.69,45.71,1.04,0.099074393,3,3.652638633,5.737683118,3.060929116,3.562865438,0.039363415,-1.651578988
725.57,205.45,51.21,37.91,1.35,0.068758599,3,3.602593615,5.837359191,3.104536084,3.400009003,0.30859581,-1.820525081
409.59,133.55,31.37,29.25,1.07,0.091858966,3,3.446572172,5.324965141,2.796380199,3.172396067,0.068084058,-1.688137292
1056.49,182.58,59.99,36.52,1.64,0.126770726,3,3.69554691,5.696222394,3.200048727,3.367358739,0.518051251,-1.526284112
260.78,88.18,28.57,19.13,1.49,0.134151052,3,3.309703382,4.838210646,2.735404403,2.794938325,0.41386147,-1.496149226
159.02,57.13,24.77,9.46,2.62,0.194887189,1,3.14437018,4.33651795,2.640928627,2.155668123,1.054364884,-1.28347429
349.66,144.67,36.91,30.45,1.21,0.066826541,3,3.400057535,5.419542811,2.900752023,3.207828426,0.194022933,-1.832922316
149.02,62.92,20.06,14.86,1.35,0.150566073,3,3.121381538,4.44745761,2.498179159,2.567562802,0.30859581,-1.433014277
362.28,81.13,33.14,15.34,2.16,0.220161512,1,3.410615132,4.741322941,2.831845351,2.596298412,0.82769607,-1.208539233
157.34,55.36,23.28,10.16,2.29,0.2053558,1,3.14063197,4.300428192,2.59933065,2.221239316,0.895458826,-1.251666439
220.42,68.98,29.71,11.31,2.63,0.185295388,1,3.255384043,4.553470246,2.761009311,2.319406841,1.058919445,-1.313671408
462.71,147.29,36.07,35.2,1.02,0.085314402,3,3.481406181,5.440802294,2.886107127,3.335136807,0.019838962,-1.723054153
499.82,134.48,38.65,28.46,1.36,0.110549866,3,3.502995729,5.333161162,2.929928965,3.148236785,0.316402778,-1.597051769
751.07,198.82,58.75,33.05,1.78,0.076001168,3,3.611442246,5.79807253,3.187550485,3.279871141,0.608506971,-1.776087369
399.05,148.77,36.47,31.73,1.15,0.072120143,3,3.439010801,5.452650563,2.893128239,3.244060858,0.141585322,-1.79951702
971.06,194.47,60.79,35.32,1.72,0.102707185,3,3.67531025,5.771602588,3.207958748,3.338117438,0.570476834,-1.633865876
131.99,58.13,26,8.38,3.1,0.15624293,2,3.077594677,4.356432993,2.673199091,2.04391827,1.258585118,-1.412290541
269.61,64.99,24.95,15.34,1.63,0.255330628,1,3.320239282,4.484738646,2.645762448,2.596298412,0.511352364,-1.113580404
383.84,100.57,43.69,15.68,2.79,0.151800542,3,3.427663779,4.99163886,3.006747762,2.61609407,1.129939513,-1.428462429
141.87,62.36,28.13,8.34,3.37,0.145927905,1,3.10377227,4.437168245,2.725212561,2.03949718,1.362349244,-1.450350582
285.88,138.46,31.95,27.37,1.17,0.059647893,3,3.338604179,5.367629061,2.80824454,3.113735768,0.159307223,-1.881280281
