,LA,LP,LL,LW,RLW,LMF,LS,LA_Boxcox,LP_Boxcox,LL_Boxcox,LW_Boxcox,RLW_Boxcox,LMF_Boxcox
103,225.09,103.53,33.31,19.64,1.7,0.084000866,3.0,3.2622602950051975,5.025582526021282,2.8351388843641145,2.818500223939655,0.4441789893458327,-1.7302834203531834
104,190.96,72.29,32.04,9.56,3.35,0.146165861,1.0,3.2075222545239215,4.607633599884048,2.8100638128477797,2.1653378683040105,0.819363024316167,-1.4494519726462536
105,256.23,82.84,23.85,20.12,1.19,0.149351568,3.0,3.304104922930304,4.7655498168147785,2.6155888045055145,2.840103470080645,0.16389969533655077,-1.4375177360456342
106,373.58,126.58,37.46,22.03,1.7,0.093263869,3.0,3.419698725778006,5.261723744820373,2.9101391329373794,2.9210705353801734,0.4441789893458327,-1.680867454732897
107,125.29,46.43,17.97,8.99,2.0,0.232476486,1.0,3.0584590330429773,4.099415429643283,2.4221940494119676,2.108752886317722,0.5506919380259192,-1.174169039307694
108,314.75,100.75,28.86,25.25,1.14,0.124032535,3.0,3.3682798172159,4.9937303919051015,2.7420256161672514,3.0423510287412547,0.12526845354571445,-1.5377726348410925
109,197.55,111.82,37.06,16.42,2.26,0.063197231,3.0,3.2189686949954135,5.115882229285747,2.903327682095792,2.6576821819005465,0.6232665144017163,-1.856896319502134
110,396.64,142.85,37.98,30.28,1.25,0.077749215,3.0,3.4372480002279695,5.404554716764651,2.918872612096627,3.202897804370809,0.20678240991806923,-1.7658039583666936
111,264.78,107.76,34.06,19.64,1.73,0.091207385,3.0,3.3145286451594935,5.072497179210366,2.8494466652813406,2.818500223939655,0.45622696617262887,-1.6915350613620943
112,148.75,55.56,24.18,9.3,2.6,0.192749159,1.0,3.1207352335203207,4.3045615573254885,2.6248027357659875,2.1399738188960655,0.6992788820498732,-1.2901148362981034
113,394.79,116.5,31.36,27.14,1.16,0.116352116,3.0,3.435886024646126,5.1640432233216345,2.7961734816266253,3.1062737567820555,0.1410587797829476,-1.570961204574494
114,132.33,47.78,18.12,9.93,1.82,0.231860097,2.0,3.078534346198565,4.132084656793579,2.4279717031808596,2.200225519332914,0.49034330209144555,-1.1758590397008808
115,155.66,84.45,26.74,16.67,1.6,0.087304717,3.0,3.1368453019979885,4.787922349514731,2.691796491990705,2.6712941893585995,0.4012794903324611,-1.7122452035525773
116,126.04,46.46,17.94,9.47,1.89,0.233566189,3.0,3.0606617453361946,4.100151328225073,2.4210320037989046,2.1566398573550662,0.514966290362661,-1.1711888745862629
117,350.49,108.33,31.47,25.0,1.26,0.119464298,3.0,3.4007659228877456,5.078682533500828,2.798443306700994,3.0335258275829187,0.21359261319142167,-1.5573357091074336
118,331.51,110.6,33.81,24.03,1.41,0.108404265,3.0,3.384039716371311,5.103007455796902,2.8447171483098908,2.998395362341481,0.30582742637964944,-1.606939217524431
119,864.81,190.41,45.24,41.39,1.09,0.095411602,3.0,3.646918970903939,5.7463760967470545,3.028381375586745,3.4765938605864224,0.08366059297920028,-1.6698985612681645
120,659.23,195.24,51.92,39.12,1.33,0.069176623,3.0,3.577697314410738,5.7763294685083455,3.1129226522280855,3.427435778477675,0.2588247062271688,-1.8178745382695933
121,873.31,183.47,44.47,43.22,1.03,0.103776329,3.0,3.6493416488612187,5.702026710535047,3.017740465849305,3.5142291537921087,0.029258807118466592,-1.6287354208337628
122,429.66,135.0,40.13,20.31,1.98,0.094301235,3.0,3.4603417655409916,5.337720048005368,2.9536055132056798,2.848507449342205,0.5444465305864357,-1.675547882891689
123,159.73,69.63,24.79,13.58,1.83,0.131781271,3.0,3.145935725032772,4.564301864106455,2.641467667994426,2.4859593400148543,0.4939582720227488,-1.5056977368066835
124,484.95,96.64,41.54,17.41,2.39,0.207703164,3.0,3.4945845924380485,4.945048869752558,2.975265199435924,2.7103780931133383,0.6544867607341835,-1.2446886749206048
125,126.31,46.67,17.92,9.46,1.89,0.23196482,3.0,3.061450854478442,4.105289801773695,2.420256090737532,2.1556681233420996,0.514966290362661,-1.175571694085298
126,225.97,78.3,25.23,18.39,1.37,0.147430471,3.0,3.2635367676314644,4.70012304318477,2.653204225572899,2.7595656739636114,0.282906392520042,-1.444693215694215
127,373.17,113.68,32.46,22.64,1.43,0.115504415,2.0,3.41937496662559,5.135252163498837,2.8184783558907722,2.9454016511005197,0.3168800945734796,-1.5747160858898483
128,375.27,111.41,34.53,22.36,1.54,0.120935969,3.0,3.4210287352112014,5.1115706649947255,2.858233271516277,2.9343187851964028,0.373294279555626,-1.5509778380249368
129,292.04,115.68,27.87,24.65,1.13,0.087294277,3.0,3.34523094406862,5.155741391914985,2.7191053890797914,3.0210155354490897,0.11719634739821516,-1.7123014545295632
